frame,classe
171,car
171,car
171,car
171,car
171,car
171,car
171,car
171,truck
171,person
171,bus
171,car
171,car
171,person
171,person
172,car
172,bus
172,car
172,car
172,car
172,car
172,car
172,car
172,car
172,car
172,truck
172,car
172,car
172,person
172,car
172,person
172,car
172,car
173,bus
173,car
173,car
173,car
173,car
173,car
173,car
173,car
173,car
173,truck
173,car
173,car
173,car
173,person
173,truck
173,car
173,person
174,car
174,car
174,bus
174,car
174,car
174,car
174,car
174,car
174,car
174,car
174,person
174,bicycle
174,person
174,person
174,car
174,bicycle
174,truck
174,truck
174,car
174,car
175,bus
175,car
175,car
175,car
175,car
175,car
175,car
175,car
175,car
175,truck
175,car
175,person
175,bicycle
175,car
176,car
176,car
176,bus
176,car
176,car
176,car
176,car
176,car
176,truck
176,car
176,person
176,car
176,bicycle
176,car
176,car
177,bus
177,car
177,car
177,car
177,bicycle
177,bicycle
177,car
177,car
177,car
177,car
177,person
177,car
177,person
177,truck
177,person
177,bicycle
177,car
177,person
178,car
178,car
178,bus
178,car
178,car
178,car
178,car
178,bicycle
178,car
178,truck
178,truck
178,person
178,bicycle
178,person
178,person
178,car
178,bicycle
178,car
178,bicycle
179,car
179,bus
179,car
179,person
179,car
179,car
179,car
179,car
179,bicycle
179,car
179,bicycle
179,truck
179,truck
179,person
179,truck
179,car
179,bicycle
179,person
179,person
179,person
179,car
180,bus
180,bicycle
180,car
180,car
180,person
180,car
180,person
180,bicycle
180,person
180,car
180,car
180,truck
180,car
180,car
180,truck
180,person
180,bus
180,person
180,person
180,person
180,car
180,car
180,motorcycle
180,bicycle
181,bicycle
181,person
181,bus
181,car
181,car
181,car
181,person
181,car
181,car
181,truck
181,bicycle
181,bicycle
181,person
181,car
181,bus
181,car
181,person
181,person
181,truck
181,car
181,person
181,person
181,car
181,person
182,bus
182,car
182,bicycle
182,car
182,car
182,person
